formula,prediction,dens_score,peak_score,is_valid,predicted_e_above_hull,is_theoretical
Li4Fe3Cu3(SnO8)2,19.46867752,9.857511641,2.883258707,TRUE,0.05028078,0.999957025
NaYTl4,19.46497726,14.1616853,2.4567564,TRUE,0.079670198,0.999315619
NaFeAsCO7,19.46297455,7.849600111,2.824301679,TRUE,0.044674918,0.999776483
Fe6H2Rh6C,19.46023941,6.305860515,2.994349754,TRUE,0.096027337,0.999897003
RbSm2Cu,19.457201,3.136677625,3.204131267,TRUE,0.011263683,0.999820173
AlIn2Ga5O12,19.44562721,9.722423787,2.764124645,TRUE,0.015931085,1.000012636
NaCaTl4,19.44167328,16.28706268,2.315639549,TRUE,0.016694918,0.999037862
KNaCa3Mg10(SiO3)16,19.44122124,9.707225834,2.806490447,TRUE,0.045030877,0.999978304
Li3CoSiBO7,19.43838501,14.32844516,2.308553318,TRUE,0.093084447,1.000005364
Y3Mg2Cu,19.43185806,2.60558343,3.18170799,TRUE,0.008916825,0.998994946
Na2LuPCO7,19.42316628,6.923325076,2.964894042,TRUE,0.017587125,1.000030637
TbTl(MoO4)2,19.42102242,14.92298161,2.565878323,TRUE,0.000176623,1.0012604
LiCu2F6,19.41691399,20.52619993,2.186093685,TRUE,0.01967445,1.000018001
Gd2CdO4,19.41648293,33.66803169,0.967641165,TRUE,0.086677149,0.999928474
NaGaCl3,19.41396332,9.869526793,2.938727836,TRUE,0.01004155,1.000013351
LuMg2Tl,19.40822411,11.75532034,2.689400625,TRUE,0.003322288,1.000112176
PrH18(BrO6)3,19.40657043,3.253276096,3.132969163,TRUE,0.000137016,1.000644922
Cs2AsH3SeO8,19.40563965,9.396802678,2.731715442,TRUE,0.000385553,0.995429039
BaNa2Tl,19.40205002,2.190508189,3.301718615,TRUE,0.010078907,0.999956012
Sr3AlN3,19.39614105,15.4164451,2.530174783,TRUE,0.049440697,1.000574112
SrLaTl(AsO4)2,19.39425278,13.14793497,2.541816857,TRUE,0.000700951,0.999915481
Sr4CaV,19.39063835,1.755242578,3.23943267,TRUE,0.04723087,0.999931633
LiGd2Zn,19.39031219,2.969953333,3.113885297,TRUE,0.000372946,1.000068903
Na5Ti3O8,19.38277626,10.91325601,2.776709682,TRUE,0.019707561,0.998905659
K4BaTa,19.38210869,0.488611586,3.293039477,TRUE,0.060526378,0.99950707
Ba2MgIn,19.37965584,2.535060468,3.407353621,TRUE,0.002756268,1.000037909
YFe4Sb,19.37837219,8.717202712,2.985442416,TRUE,0.0667772,0.999942183
Na4ScIn3(SiO3)8,19.37136078,7.997074553,2.851852339,TRUE,0.003492266,0.999971211
Rb3P4H9O16,19.35821533,19.28172189,1.951155257,TRUE,0.005315259,0.990859985
La2HoO4,19.35700607,13.4297037,2.445979169,TRUE,0.062638633,1.000062704
BaY3Ga,19.35195541,2.658978899,3.206438134,TRUE,0.000275105,0.999723434
BaPb2BrF5,19.34574127,13.73784131,2.600706781,TRUE,0.017439529,1.000226617
MnCr3O8,19.33581161,21.99224897,2.086416458,TRUE,0.086546406,0.999982893
Li4Mn2Fe3Sn3O16,19.33414268,14.81765254,2.502473271,TRUE,0.09275341,0.999953389
Sr5Fe4CoO10,19.33165741,19.45432608,2.284582927,TRUE,0.08587946,0.999937892
Li2VFeO4,19.32771111,20.01314469,2.103174054,TRUE,0.057756931,0.999989152
Li5V3Cr2O10,19.32390213,7.151587003,2.907314742,TRUE,0.015771583,1.000071049
SrMg30NiO32,19.3233757,27.92848509,1.68257716,TRUE,0.043168232,1.000023007
Sr3CaPb,19.3229866,1.745323807,3.185907966,TRUE,0.000765219,0.999426425
La3Ti2N3O4,19.32012177,9.1317972,2.748610951,TRUE,0.052549377,1.000002265
Li2Fe2SiO6,19.31632042,18.57697024,2.332059881,TRUE,0.071832858,1.000040889
Sr3Tm2(GeO4)3,19.31356812,4.273033887,3.051066328,TRUE,9.14E-05,1.000033259
Y3GaO,19.30901337,1.242958799,3.281915767,TRUE,8.13E-05,0.999880135
Sr4La12Mn16H5(CO24)2,19.30884933,13.36537832,2.741765039,TRUE,0.043388605,0.99983567
Ba2PmGa,19.30785561,2.126282915,3.273642675,TRUE,0.000130579,0.99999243
Re2AsO4,19.3067112,19.81173692,2.258143138,TRUE,0.085109323,0.999977708
LiFe3OF5,19.30642509,10.17708401,2.717423241,TRUE,0.095628135,1.000000238
Zn3Ga9C,19.30579185,24.78129603,1.685962112,TRUE,0.083773814,1.000131011
GaAgCl2,19.30371475,36.40309384,1.013917804,TRUE,0.000471473,1.000616789
CaNiF5,19.30150223,32.0750102,1.459762243,TRUE,0.006237432,0.999904752
Li17AlGaClO11,19.2989502,2.740391163,3.146930886,TRUE,0.062909871,0.996188402
CaMnCu3(RuO4)3,19.29648018,16.95899449,2.200159622,TRUE,0.042740598,0.999816298
VFe(CuO2)2,19.29526901,29.77508601,1.568104732,TRUE,0.031021655,0.999895275
Cu3Hg2(Te3O8)2,19.29116058,11.17472422,2.548119944,TRUE,0.002037451,1.000148892
Mg2PbO4,19.2887516,15.36181334,2.388022057,TRUE,0.095880836,1.000485182
Hf5N5O2,19.28693199,11.07752318,2.610743471,TRUE,0.059913263,0.99995935
